title,body,source,timestamp
Tommy Soeharto’s golf company sets IPO price to IDR 200 per share,"PT Intra Golflink Resorts Tbk (GOLF), a golf course consultancy and management company of Tommy Soeharto, has decided the initial public offering (IPO) price of IDR 200 per share.",https://www.idnfinancials.com/news/50224/tommy-soehartos-golf-company-sets-ipo-price-idr-share,2024-07-02 16:32:50
MTEL to revise bond and sukuk ijarah target proceeds to IDR 250.22 billion,PT Dayamitra Telekomunikasi Tbk (MTEL) is revising the target of its proceeds of issuance of Bond I and Sukuk Ijarah I of 2024 to IDR 250.22 billion from the initial IDR 500 billion.,https://www.idnfinancials.com/news/50223/mtel-revise-bond-sukuk-ijarah-target-proceeds-idr,2024-07-02 16:14:01
CGAS to secure credit facility of IDR 53.88 billion,PT Citra Nusantara Gemilang Tbk (CGAS) has secured a loan facility of IDR 53.88 billion in total from PT Bank Mandiri (Persero) Tbk (BMRI). ,https://www.idnfinancials.com/news/50222/cgas-secure-credit-facility-idr,2024-07-02 15:23:58
"BTPN to issue bond of IDR 355.06 billion, highest coupon set to 7.10%",PT Bank Tabungan Negara Tbk (BTPN) will issue Shelf-Registration Bond V Phase I Year 2024 with total principal of IDR 355 billion.,https://www.idnfinancials.com/news/50221/btpn-issue-bond-idr-billion-coupon-set,2024-07-02 14:31:49
"Reducing debts, RANC to divest shares","PT Supra Boga Lestari Tbk (RANC), the managing company of Ranch Market, is divesting its shares of 40% of PT Mars Multi Mandiri (MMM) to PT Anarawata Puspa Utama (APU) for IDR 145.78 billion.",https://www.idnfinancials.com/news/50220/reducing-debts-ranc-divest-shares,2024-07-02 14:03:45
JATI to support Indodax’s crypto business,"PT Informasi Teknologi Indonesia Tbk (JATI) has successfully expanded business portfolio of its client, Indodax, to cryptocurrency industry. Indodax is a tech company in blockchain and cryptoasset industry.",https://www.idnfinancials.com/news/50219/jati-support-indodaxs-crypto-business,2024-07-02 13:22:39
Three insurance companies reported jumbo net profit in Q1 2024,Three out of 18 listed insurance companies with market cap of over IDR 3.5 trillion are revealed to score impressive net profit in Q1 2024.,https://www.idnfinancials.com/news/50218/insurance-companies-reported-jumbo-profit-q,2024-07-02 11:46:37
Mitra Adiperkasa distributes cash dividend of IDR 132.32 billion,"PT Mitra Adiperkasa Tbk (MAPI), a retail company that manages several globally-renowned fashion and F&B outlets, will distribute cash dividend of IDR 132.32 billion or IDR 8 per share.",https://www.idnfinancials.com/news/50217/mitra-adiperkasa-distributes-cash-dividend-idr,2024-07-02 10:03:52
Astra Land injects IDR 524.3 billion to Mandarin Oriental Hotel,"PT Astra Land Indonesia (ALI), the property line of PT Astra International Tbk (ASII), has channelled extra capital of IDR 524.3 billion to PT Bhumi Prama Arjasa (BPA).",https://www.idnfinancials.com/news/50216/astra-land-injects-idr-mandarin-oriental-hotel,2024-07-02 09:15:47
Adaro’s subsidiary obtains affiliate loans of IDR 351.3 billion,"PT Indoprima Niaga Sejahtera (INS), a subsidiary of PT Adaro Energy Indonesia Tbk (ADRO), has received a loan facility worth IDR 351.3 billion from PT Alam Tri Abadi (ATA).",https://www.idnfinancials.com/news/50215/adaros-subsidiary-obtains-affiliate-loans-idr,2024-07-02 08:24:27
